Time (s),Power (W),Voltage (V),Amps (A),Adapted
0,266.4,238.0,1.096,false
1,257.4,238.0,1.099,false
2,257.0,238.0,1.107,false
3,257.0,238.0,1.091,false
4,251.8,237.9,1.097,false
5,251.7,238.0,1.109,false
6,256.8,238.0,1.086,false
7,250.9,238.1,1.127,false
8,251.5,238.1,1.089,false
9,251.6,238.0,1.179,false
10,268.3,237.8,1.167,false
11,268.7,237.8,1.182,false
12,269.2,237.8,1.184,false
13,269.6,237.8,1.217,false
14,277.5,237.8,1.177,false
15,271.2,237.7,1.195,false
16,271.7,238.0,1.179,false
17,271.8,238.0,1.18,false
18,271.8,237.9,1.247,false
19,285.4,237.7,1.239,false
20,285.6,237.7,1.241,false
21,285.6,237.8,1.242,false
22,285.8,237.8,1.241,false
23,285.8,237.8,1.287,false
24,286.1,237.7,1.277,false
25,286.7,237.9,1.25,false
26,286.9,238.0,1.237,false
27,286.9,237.8,1.282,false
28,293.0,237.7,1.274,false
29,293.1,237.9,1.29,false
30,293.3,237.9,1.269,false
31,293.9,237.9,1.282,false
32,293.9,238.0,1.274,false
33,294.0,238.0,1.277,false
34,294.0,237.9,1.277,false
35,294.1,237.9,1.301,false
36,299.3,238.0,1.303,false
37,299.4,237.9,1.311,false
38,299.6,238.0,1.298,false
39,299.7,237.7,1.304,false
40,299.8,237.8,1.303,false
41,299.9,237.9,1.327,false
42,300.4,238.0,1.301,false
43,300.5,237.9,1.31,false
44,300.6,237.7,1.302,false
45,300.7,237.8,1.323,false
46,301.2,237.8,1.319,false
47,301.8,237.9,1.324,false
48,307.1,237.6,1.326,false
49,306.8,237.6,1.33,false
50,306.6,237.6,1.327,false
51,306.5,237.6,1.323,false
52,306.2,237.7,1.331,false
53,306.0,237.6,1.326,false
54,306.0,237.7,1.34,false
55,306.1,237.7,1.338,false
56,306.5,237.7,1.347,false
57,306.8,237.7,1.335,false
58,307.1,237.8,1.359,false
59,307.7,237.9,1.343,false
60,307.8,237.9,1.342,false
61,308.0,237.9,1.342,false
62,308.0,238.0,1.344,false
63,308.1,237.9,1.357,false
64,308.6,237.9,1.323,false
65,308.8,237.9,1.35,false
66,309.0,238.0,1.354,false
67,309.3,238.1,1.348,false
68,309.4,237.9,1.349,false
69,309.5,237.7,1.342,false
70,309.9,237.7,1.363,false
71,310.0,237.7,1.351,false
72,310.1,237.8,1.35,false
73,310.4,237.9,1.355,false
74,310.6,237.9,1.357,false
75,310.7,237.9,1.357,false
76,311.2,238.1,1.348,false
77,311.2,238.0,1.362,false
78,311.3,237.9,1.359,false
79,311.4,237.9,1.353,false
80,311.5,238.0,1.354,false
81,311.7,237.8,1.364,false
82,312.0,238.0,1.356,false
83,312.2,238.0,1.361,false
84,312.4,237.8,1.36,false
85,312.5,238.0,1.356,false
86,312.7,238.0,1.371,false
87,313.0,238.0,1.299,false
88,303.3,238.0,1.318,false
89,303.3,237.9,1.322,false
90,303.4,237.8,1.341,false
91,303.4,237.8,1.303,false
92,296.2,238.0,1.342,false
93,303.6,238.0,1.349,false
94,304.1,238.0,1.312,false
95,304.3,237.9,1.346,false
96,304.5,237.9,1.357,false
97,304.8,238.0,1.337,false
98,305.3,237.8,1.353,false
99,312.4,237.8,1.369,false
100,312.4,238.0,1.342,false
101,312.4,237.8,1.364,false
102,312.4,237.8,1.366,false
103,312.7,238.0,1.375,false
104,312.9,237.9,1.364,false
105,313.1,237.8,1.361,false
106,313.0,237.7,1.354,false
107,312.9,238.0,1.344,false
108,312.8,237.9,1.377,false
109,312.7,237.7,1.383,false
110,312.8,237.7,1.378,false
111,313.0,237.8,1.332,false
112,306.8,238.0,1.282,false
113,299.3,238.0,1.313,false
114,304.5,237.8,1.338,false
115,305.0,237.8,1.36,false
116,305.4,237.8,1.323,false
117,305.0,237.7,1.345,false
118,305.0,237.9,1.358,false
119,305.4,237.7,1.358,false
120,305.5,237.8,1.358,false
121,311.2,237.7,1.365,false
122,311.0,237.7,1.369,false
123,311.2,237.7,1.348,false
124,311.3,237.8,1.361,false
125,311.8,237.8,1.363,false
126,312.3,237.7,1.393,false
127,312.8,237.9,1.372,false
128,313.0,237.9,1.386,false
129,313.2,237.8,1.363,false
130,313.3,237.8,1.361,false
131,313.2,237.7,1.376,false
132,313.7,237.7,1.379,false
133,314.3,237.7,1.374,false
134,314.6,237.8,1.366,false
135,314.8,237.8,1.378,false
136,315.0,237.7,1.372,false
137,315.2,237.6,1.379,false
138,315.5,237.6,1.379,false
139,315.8,237.7,1.316,false
140,315.7,237.5,1.374,false
141,315.9,237.5,1.378,false
142,315.8,237.7,1.381,false
143,316.0,237.7,1.385,false
144,316.4,237.6,1.378,false
145,316.5,237.7,1.369,false
146,316.6,237.5,1.383,false
147,316.8,237.5,1.376,false
148,316.8,237.5,1.38,false
149,317.1,237.5,1.379,false
150,317.2,237.4,1.386,false
151,317.4,237.5,1.374,false
152,317.3,237.7,1.375,false
153,317.2,237.7,1.37,false
154,317.3,237.4,1.396,false
155,317.3,237.6,1.376,false
156,317.5,237.7,1.385,false
157,317.7,237.6,1.374,false
158,317.6,237.5,1.387,false
159,317.6,237.5,1.376,false
160,317.5,237.3,1.392,false
161,317.8,237.7,1.38,false
162,317.9,237.7,1.38,false
163,317.8,237.7,1.379,false
164,317.8,237.6,1.372,false
165,317.8,237.6,1.377,false
166,317.8,237.6,1.387,false
167,318.1,237.6,1.383,false
168,318.2,237.7,1.38,false
169,318.2,237.5,1.374,false
170,318.0,237.5,1.349,false
171,317.6,237.6,1.377,false
172,317.6,237.7,1.367,false
173,317.5,237.8,1.38,false
174,317.5,237.6,1.38,false
175,317.3,237.5,1.378,false
176,317.4,237.6,1.376,false
177,317.5,237.6,1.392,false
178,317.8,237.6,1.373,false
179,317.7,237.7,1.382,false
180,317.7,237.6,1.37,false
181,317.5,237.7,1.385,false
182,317.4,237.8,1.37,false
183,317.4,237.6,1.389,false
184,317.8,237.7,1.382,false
185,317.7,237.7,1.387,false
186,317.7,237.5,1.378,false
187,317.7,237.6,1.376,false
188,317.6,237.7,1.385,false
189,317.8,237.6,1.38,false
190,317.9,237.6,1.377,false
191,317.9,237.6,1.38,false
192,318.0,237.6,1.385,false
193,318.0,237.7,1.371,false
194,317.9,237.6,1.389,false
195,318.2,237.7,1.373,false
196,318.2,237.6,1.379,false
197,318.1,237.5,1.387,false
198,318.3,237.6,1.383,false
199,318.3,237.5,1.386,false
200,318.3,237.6,1.38,false
201,318.5,237.6,1.338,false
202,309.8,237.7,1.378,false
203,318.0,237.7,1.36,false
204,317.9,237.5,1.376,false
205,317.9,237.5,1.392,false
206,318.0,237.6,1.379,false
207,318.1,237.7,1.382,false
208,318.2,237.6,1.378,false
209,318.1,237.6,1.391,false
210,318.1,237.5,1.382,false
211,318.2,237.6,1.394,false
212,318.2,237.4,1.392,false
213,318.4,237.5,1.384,false
214,318.3,237.6,1.39,false
215,318.4,237.6,1.374,false
216,318.4,237.5,1.385,false
217,318.4,237.4,1.387,false
218,318.5,237.5,1.38,false
219,318.6,237.5,1.374,false
220,318.4,237.5,1.381,false
221,318.5,237.6,1.376,false
222,318.5,237.6,1.381,false
223,318.6,237.6,1.377,false
224,318.7,237.5,1.381,false
225,318.6,237.6,1.382,false
226,318.4,237.5,1.387,false
227,318.3,237.6,1.38,false
228,318.3,237.5,1.388,false
229,318.6,237.6,1.382,false
230,318.6,237.5,1.388,false
231,318.6,237.5,1.388,false
232,318.3,237.5,1.384,false
233,318.5,237.5,1.384,false
234,318.6,237.6,1.392,false
235,318.8,237.6,1.388,false
236,318.9,237.7,1.346,false
237,318.7,237.7,1.38,false
238,318.9,237.6,1.388,false
239,318.7,237.6,1.374,false
240,318.8,237.6,1.38,false
241,318.9,237.5,1.38,false
242,319.0,237.6,1.376,false
243,318.7,237.7,1.389,false
244,318.7,237.7,1.385,false
245,318.8,237.7,1.386,false
246,319.0,237.6,1.384,false
247,319.1,237.5,1.385,false
248,318.8,237.5,1.368,false
249,318.7,237.5,1.384,false
250,318.8,237.5,1.379,false
251,318.8,237.4,1.401,false
252,319.1,237.5,1.389,false
253,319.2,237.6,1.385,false
254,319.2,237.6,1.389,false
255,319.0,237.6,1.386,false
256,318.9,237.6,1.379,false
257,318.9,237.6,1.382,false
258,319.1,237.5,1.383,false
259,319.1,237.5,1.376,false
260,319.1,237.5,1.388,false
261,319.2,237.7,1.39,false
262,319.1,237.7,1.381,false
263,319.3,237.5,1.393,false
264,319.5,237.7,1.374,false
265,319.4,237.5,1.372,false
266,319.4,237.6,1.375,false
267,319.4,237.6,1.358,false
268,319.4,237.7,1.401,false
269,319.7,237.7,1.382,false
270,319.6,237.4,1.382,false
271,319.5,237.7,1.382,false
272,319.6,237.6,1.382,false
273,319.5,237.6,1.398,false
274,319.5,237.5,1.393,false
275,319.8,237.7,1.392,false
276,319.6,237.5,1.383,false
277,319.6,237.7,1.393,false
278,319.5,237.6,1.386,false
279,319.5,237.7,1.371,false
280,319.3,237.6,1.383,false
281,319.4,237.6,1.385,false
282,319.4,237.5,1.385,false
283,319.4,237.7,1.391,false
284,319.4,237.7,1.38,false
285,319.3,237.6,1.394,false
286,319.4,237.8,1.389,false
287,319.5,237.8,1.386,false
288,319.6,237.6,1.379,false
289,319.5,237.6,1.387,false
290,319.5,237.7,1.39,false
291,319.5,237.5,1.396,false
292,319.7,237.6,1.392,false
293,319.6,237.8,1.382,false
294,319.6,237.6,1.398,false
295,319.8,237.8,1.38,false
296,319.7,237.6,1.389,false
297,319.6,237.8,1.382,false
298,319.6,237.6,1.391,false
299,319.6,237.7,1.387,false
300,319.5,237.6,1.392,false
301,319.5,237.8,1.385,false
302,319.5,237.6,1.401,false
303,319.7,237.5,1.387,false
304,319.8,237.7,1.384,false
305,319.8,237.4,1.389,false
306,319.7,237.7,1.386,false
307,319.6,237.5,1.387,false
308,319.6,237.5,1.388,false
309,319.6,237.7,1.382,false
310,319.6,237.5,1.377,false
311,319.4,237.5,1.383,false
312,319.5,237.8,1.384,false
313,319.4,237.6,1.387,false
314,319.5,237.6,1.379,false
315,319.6,237.4,1.388,false
316,319.7,237.7,1.387,false
317,319.5,237.5,1.391,false
318,319.6,237.5,1.395,false
319,319.7,237.5,1.352,false
320,301.2,237.5,1.402,false
321,316.4,237.5,1.387,false
322,316.7,237.4,1.394,false
323,317.1,237.3,1.392,false
324,317.4,237.4,1.385,false
325,317.7,237.5,1.394,false
326,318.1,237.5,1.383,false
327,318.4,237.5,1.391,false
328,318.6,237.5,1.387,false
329,318.8,237.6,1.389,false
330,318.9,237.5,1.383,false
331,318.9,237.4,1.398,false
332,319.2,237.5,1.38,false
333,319.3,237.2,1.39,false
334,319.5,237.3,1.387,false
335,319.6,237.6,1.391,false
336,319.8,237.4,1.393,false
337,319.9,237.4,1.377,false
338,320.0,237.3,1.395,false
339,319.9,237.5,1.384,false
340,319.8,237.3,1.393,false
341,320.0,237.4,1.377,false
342,319.8,237.4,1.39,false
343,319.9,237.3,1.392,false
344,320.0,237.3,1.386,false
345,320.0,237.4,1.398,false
346,320.1,237.4,1.389,false
347,320.0,237.2,1.391,false
348,319.9,237.5,1.394,false
349,320.1,237.4,1.384,false
350,320.0,237.6,1.379,false
351,320.1,237.5,1.392,false
352,320.1,237.3,1.383,false
353,320.1,237.6,1.391,false
354,320.0,237.5,1.4,false
355,320.2,237.4,1.387,false
356,320.2,237.3,1.387,false
357,311.2,237.4,1.387,false
358,320.4,237.3,1.393,false
359,320.4,237.3,1.386,false
360,320.3,237.5,1.395,false
361,320.5,237.5,1.393,false
362,320.3,237.4,1.384,false
363,320.0,237.4,1.394,false
364,320.1,237.3,1.395,false
365,320.1,237.2,1.393,false
366,320.2,237.3,1.391,false
367,320.2,237.2,1.385,false
